질문,답변
2024.11에 독일에서 가장 많이 거래된 품목은 무엇인가요?,"2024.11에 독일에서 가장 많이 거래된 품목은 전기자동차이며, 총 거래액은 113,431,523.0달러입니다."
2024.11에 독일에서 가장 적게 거래된 품목은 무엇인가요?,"2024.11에 독일에서 가장 적게 거래된 품목은 천연 비료이며, 총 거래액은 50.0달러입니다."
2024.11에 미국에서 가장 많이 거래된 품목은 무엇인가요?,"2024.11에 미국에서 가장 많이 거래된 품목은 전기차용 리튬이온 배터리이며, 총 거래액은 267,620,520.0달러입니다."
2024.11에 미국에서 가장 적게 거래된 품목은 무엇인가요?,"2024.11에 미국에서 가장 적게 거래된 품목은 천연 비료이며, 총 거래액은 1,281.0달러입니다."
2024.11에 베트남에서 가장 많이 거래된 품목은 무엇인가요?,"2024.11에 베트남에서 가장 많이 거래된 품목은 전기차용 리튬이온 배터리이며, 총 거래액은 19,197,600.0달러입니다."
2024.11에 베트남에서 가장 적게 거래된 품목은 무엇인가요?,"2024.11에 베트남에서 가장 적게 거래된 품목은 유기농 면화이며, 총 거래액은 2,948.0달러입니다."
2024.11에 인도에서 가장 많이 거래된 품목은 무엇인가요?,"2024.11에 인도에서 가장 많이 거래된 품목은 전기차용 리튬이온 배터리이며, 총 거래액은 19,067,010.0달러입니다."
2024.11에 인도에서 가장 적게 거래된 품목은 무엇인가요?,"2024.11에 인도에서 가장 적게 거래된 품목은 천연 비료이며, 총 거래액은 84.0달러입니다."
2024.11에 일본에서 가장 많이 거래된 품목은 무엇인가요?,"2024.11에 일본에서 가장 많이 거래된 품목은 전기차용 리튬이온 배터리이며, 총 거래액은 18,891,517.0달러입니다."
2024.11에 일본에서 가장 적게 거래된 품목은 무엇인가요?,"2024.11에 일본에서 가장 적게 거래된 품목은 전기 이륜차이며, 총 거래액은 240.0달러입니다."
2024.11에 중국에서 가장 많이 거래된 품목은 무엇인가요?,"2024.11에 중국에서 가장 많이 거래된 품목은 전기차용 리튬이온 배터리이며, 총 거래액은 468,356,231.0달러입니다."
2024.11에 중국에서 가장 적게 거래된 품목은 무엇인가요?,"2024.11에 중국에서 가장 적게 거래된 품목은 유기농 면화이며, 총 거래액은 208.0달러입니다."
2024.11에 태국에서 가장 많이 거래된 품목은 무엇인가요?,"2024.11에 태국에서 가장 많이 거래된 품목은 천연 고무 라텍스이며, 총 거래액은 2,016,744.0달러입니다."
2024.11에 태국에서 가장 적게 거래된 품목은 무엇인가요?,"2024.11에 태국에서 가장 적게 거래된 품목은 종이 빨대, 포장재이며, 총 거래액은 13,526.0달러입니다."
2024.11에 프랑스에서 가장 많이 거래된 품목은 무엇인가요?,"2024.11에 프랑스에서 가장 많이 거래된 품목은 전기자동차이며, 총 거래액은 30,683,147.0달러입니다."
2024.11에 프랑스에서 가장 적게 거래된 품목은 무엇인가요?,"2024.11에 프랑스에서 가장 적게 거래된 품목은 천연 비료이며, 총 거래액은 95.0달러입니다."
2024.11에 호주에서 가장 많이 거래된 품목은 무엇인가요?,"2024.11에 호주에서 가장 많이 거래된 품목은 전기자동차이며, 총 거래액은 6,139,501.0달러입니다."
2024.11에 호주에서 가장 적게 거래된 품목은 무엇인가요?,"2024.11에 호주에서 가장 적게 거래된 품목은 천연 비료이며, 총 거래액은 132.0달러입니다."
2024.12에 대만에서 가장 많이 거래된 품목은 무엇인가요?,"2024.12에 대만에서 가장 많이 거래된 품목은 전기차용 리튬이온 배터리이며, 총 거래액은 27,166,769.0달러입니다."
2024.12에 대만에서 가장 적게 거래된 품목은 무엇인가요?,"2024.12에 대만에서 가장 적게 거래된 품목은 금속 빨대이며, 총 거래액은 4,862.0달러입니다."
2024.12에 독일에서 가장 많이 거래된 품목은 무엇인가요?,"2024.12에 독일에서 가장 많이 거래된 품목은 전기자동차이며, 총 거래액은 192,633,810.0달러입니다."
2024.12에 독일에서 가장 적게 거래된 품목은 무엇인가요?,"2024.12에 독일에서 가장 적게 거래된 품목은 천연 비료이며, 총 거래액은 99.0달러입니다."
2024.12에 미국에서 가장 많이 거래된 품목은 무엇인가요?,"2024.12에 미국에서 가장 많이 거래된 품목은 전기차용 리튬이온 배터리이며, 총 거래액은 375,978,573.0달러입니다."
2024.12에 미국에서 가장 적게 거래된 품목은 무엇인가요?,"2024.12에 미국에서 가장 적게 거래된 품목은 천연 비료이며, 총 거래액은 1,430.0달러입니다."
2024.12에 베트남에서 가장 많이 거래된 품목은 무엇인가요?,"2024.12에 베트남에서 가장 많이 거래된 품목은 전력 변환장치 (인버터)이며, 총 거래액은 19,634,026.0달러입니다."
2024.12에 베트남에서 가장 적게 거래된 품목은 무엇인가요?,"2024.12에 베트남에서 가장 적게 거래된 품목은 천연 고무 라텍스이며, 총 거래액은 4,961.0달러입니다."
2024.12에 인도에서 가장 많이 거래된 품목은 무엇인가요?,"2024.12에 인도에서 가장 많이 거래된 품목은 전기차용 리튬이온 배터리이며, 총 거래액은 16,360,840.0달러입니다."
2024.12에 인도에서 가장 적게 거래된 품목은 무엇인가요?,"2024.12에 인도에서 가장 적게 거래된 품목은 태양열 집열기이며, 총 거래액은 272.0달러입니다."
2024.12에 일본에서 가장 많이 거래된 품목은 무엇인가요?,"2024.12에 일본에서 가장 많이 거래된 품목은 전기차용 리튬이온 배터리이며, 총 거래액은 27,875,196.0달러입니다."
2024.12에 일본에서 가장 적게 거래된 품목은 무엇인가요?,"2024.12에 일본에서 가장 적게 거래된 품목은 전기 이륜차이며, 총 거래액은 6,327.0달러입니다."
2024.12에 중국에서 가장 많이 거래된 품목은 무엇인가요?,"2024.12에 중국에서 가장 많이 거래된 품목은 전기차용 리튬이온 배터리이며, 총 거래액은 468,851,015.0달러입니다."
2024.12에 중국에서 가장 적게 거래된 품목은 무엇인가요?,"2024.12에 중국에서 가장 적게 거래된 품목은 유기농 면화이며, 총 거래액은 232.0달러입니다."
2024.12에 태국에서 가장 많이 거래된 품목은 무엇인가요?,"2024.12에 태국에서 가장 많이 거래된 품목은 천연 고무 라텍스이며, 총 거래액은 2,038,584.0달러입니다."
2024.12에 태국에서 가장 적게 거래된 품목은 무엇인가요?,"2024.12에 태국에서 가장 적게 거래된 품목은 슬래그 울, 단열재이며, 총 거래액은 77.0달러입니다."
2024.12에 프랑스에서 가장 많이 거래된 품목은 무엇인가요?,"2024.12에 프랑스에서 가장 많이 거래된 품목은 전기차용 리튬이온 배터리이며, 총 거래액은 13,167,232.0달러입니다."
2024.12에 프랑스에서 가장 적게 거래된 품목은 무엇인가요?,"2024.12에 프랑스에서 가장 적게 거래된 품목은 천연 성분 세제이며, 총 거래액은 36,793.0달러입니다."
2024.12에 호주에서 가장 많이 거래된 품목은 무엇인가요?,"2024.12에 호주에서 가장 많이 거래된 품목은 전기차용 리튬이온 배터리이며, 총 거래액은 4,992,456.0달러입니다."
2024.12에 호주에서 가장 적게 거래된 품목은 무엇인가요?,"2024.12에 호주에서 가장 적게 거래된 품목은 태양열 집열기이며, 총 거래액은 380.0달러입니다."
2025.01에 대만에서 가장 많이 거래된 품목은 무엇인가요?,"2025.01에 대만에서 가장 많이 거래된 품목은 전력 변환장치 (인버터)이며, 총 거래액은 5,389,414.0달러입니다."
2025.01에 대만에서 가장 적게 거래된 품목은 무엇인가요?,"2025.01에 대만에서 가장 적게 거래된 품목은 금속 빨대이며, 총 거래액은 1,805.0달러입니다."
2025.01에 독일에서 가장 많이 거래된 품목은 무엇인가요?,"2025.01에 독일에서 가장 많이 거래된 품목은 전기자동차이며, 총 거래액은 95,875,530.0달러입니다."
2025.01에 독일에서 가장 적게 거래된 품목은 무엇인가요?,"2025.01에 독일에서 가장 적게 거래된 품목은 천연 비료이며, 총 거래액은 269.0달러입니다."
2025.01에 미국에서 가장 많이 거래된 품목은 무엇인가요?,"2025.01에 미국에서 가장 많이 거래된 품목은 전기차용 리튬이온 배터리이며, 총 거래액은 179,564,532.0달러입니다."
2025.01에 미국에서 가장 적게 거래된 품목은 무엇인가요?,"2025.01에 미국에서 가장 적게 거래된 품목은 천연 고무 라텍스이며, 총 거래액은 560.0달러입니다."
2025.01에 베트남에서 가장 많이 거래된 품목은 무엇인가요?,"2025.01에 베트남에서 가장 많이 거래된 품목은 전력 변환장치 (인버터)이며, 총 거래액은 21,493,755.0달러입니다."
2025.01에 베트남에서 가장 적게 거래된 품목은 무엇인가요?,"2025.01에 베트남에서 가장 적게 거래된 품목은 태양열 집열기이며, 총 거래액은 13.0달러입니다."
2025.01에 인도에서 가장 많이 거래된 품목은 무엇인가요?,"2025.01에 인도에서 가장 많이 거래된 품목은 전기자동차이며, 총 거래액은 9,454,435.0달러입니다."
2025.01에 인도에서 가장 적게 거래된 품목은 무엇인가요?,"2025.01에 인도에서 가장 적게 거래된 품목은 금속 빨대이며, 총 거래액은 1,422.0달러입니다."
2025.01에 일본에서 가장 많이 거래된 품목은 무엇인가요?,"2025.01에 일본에서 가장 많이 거래된 품목은 전기차용 리튬이온 배터리이며, 총 거래액은 24,959,950.0달러입니다."
2025.01에 일본에서 가장 적게 거래된 품목은 무엇인가요?,"2025.01에 일본에서 가장 적게 거래된 품목은 전기 이륜차이며, 총 거래액은 6,622.0달러입니다."
2025.01에 중국에서 가장 많이 거래된 품목은 무엇인가요?,"2025.01에 중국에서 가장 많이 거래된 품목은 전기차용 리튬이온 배터리이며, 총 거래액은 274,658,641.0달러입니다."
2025.01에 중국에서 가장 적게 거래된 품목은 무엇인가요?,"2025.01에 중국에서 가장 적게 거래된 품목은 유기농 면화이며, 총 거래액은 59.0달러입니다."
2025.01에 태국에서 가장 많이 거래된 품목은 무엇인가요?,"2025.01에 태국에서 가장 많이 거래된 품목은 전기자동차이며, 총 거래액은 2,752,904.0달러입니다."
2025.01에 태국에서 가장 적게 거래된 품목은 무엇인가요?,"2025.01에 태국에서 가장 적게 거래된 품목은 금속 빨대이며, 총 거래액은 1,165.0달러입니다."
2025.01에 프랑스에서 가장 많이 거래된 품목은 무엇인가요?,"2025.01에 프랑스에서 가장 많이 거래된 품목은 전기자동차이며, 총 거래액은 22,644,768.0달러입니다."
2025.01에 프랑스에서 가장 적게 거래된 품목은 무엇인가요?,"2025.01에 프랑스에서 가장 적게 거래된 품목은 실리콘 식기/빨대이며, 총 거래액은 75,691.0달러입니다."
2025.01에 호주에서 가장 많이 거래된 품목은 무엇인가요?,"2025.01에 호주에서 가장 많이 거래된 품목은 전기자동차이며, 총 거래액은 21,850,548.0달러입니다."
2025.01에 호주에서 가장 적게 거래된 품목은 무엇인가요?,"2025.01에 호주에서 가장 적게 거래된 품목은 전기 이륜차이며, 총 거래액은 318.0달러입니다."
2025.02에 대만에서 가장 많이 거래된 품목은 무엇인가요?,"2025.02에 대만에서 가장 많이 거래된 품목은 천연 성분 세제이며, 총 거래액은 5,786,429.0달러입니다."
2025.02에 대만에서 가장 적게 거래된 품목은 무엇인가요?,"2025.02에 대만에서 가장 적게 거래된 품목은 유기농 면화이며, 총 거래액은 16.0달러입니다."
2025.02에 독일에서 가장 많이 거래된 품목은 무엇인가요?,"2025.02에 독일에서 가장 많이 거래된 품목은 전기자동차이며, 총 거래액은 137,343,400.0달러입니다."
2025.02에 독일에서 가장 적게 거래된 품목은 무엇인가요?,"2025.02에 독일에서 가장 적게 거래된 품목은 슬래그 울, 단열재이며, 총 거래액은 1,766.0달러입니다."
2025.02에 미국에서 가장 많이 거래된 품목은 무엇인가요?,"2025.02에 미국에서 가장 많이 거래된 품목은 전기차용 리튬이온 배터리이며, 총 거래액은 194,045,614.0달러입니다."
2025.02에 미국에서 가장 적게 거래된 품목은 무엇인가요?,"2025.02에 미국에서 가장 적게 거래된 품목은 천연 비료이며, 총 거래액은 1,872.0달러입니다."
2025.02에 베트남에서 가장 많이 거래된 품목은 무엇인가요?,"2025.02에 베트남에서 가장 많이 거래된 품목은 전기차용 리튬이온 배터리이며, 총 거래액은 17,145,186.0달러입니다."
2025.02에 베트남에서 가장 적게 거래된 품목은 무엇인가요?,"2025.02에 베트남에서 가장 적게 거래된 품목은 유기농 면화이며, 총 거래액은 2,058.0달러입니다."
2025.02에 인도에서 가장 많이 거래된 품목은 무엇인가요?,"2025.02에 인도에서 가장 많이 거래된 품목은 전기차용 리튬이온 배터리이며, 총 거래액은 15,905,021.0달러입니다."
2025.02에 인도에서 가장 적게 거래된 품목은 무엇인가요?,"2025.02에 인도에서 가장 적게 거래된 품목은 천연 비료이며, 총 거래액은 62,170.0달러입니다."
2025.02에 일본에서 가장 많이 거래된 품목은 무엇인가요?,"2025.02에 일본에서 가장 많이 거래된 품목은 전기차용 리튬이온 배터리이며, 총 거래액은 20,878,685.0달러입니다."
2025.02에 일본에서 가장 적게 거래된 품목은 무엇인가요?,"2025.02에 일본에서 가장 적게 거래된 품목은 전기 이륜차이며, 총 거래액은 7.0달러입니다."
2025.02에 중국에서 가장 많이 거래된 품목은 무엇인가요?,"2025.02에 중국에서 가장 많이 거래된 품목은 전기차용 리튬이온 배터리이며, 총 거래액은 257,257,705.0달러입니다."
2025.02에 중국에서 가장 적게 거래된 품목은 무엇인가요?,"2025.02에 중국에서 가장 적게 거래된 품목은 유기농 면화이며, 총 거래액은 403.0달러입니다."
2025.02에 태국에서 가장 많이 거래된 품목은 무엇인가요?,"2025.02에 태국에서 가장 많이 거래된 품목은 전기자동차이며, 총 거래액은 4,341,763.0달러입니다."
2025.02에 태국에서 가장 적게 거래된 품목은 무엇인가요?,"2025.02에 태국에서 가장 적게 거래된 품목은 금속 빨대이며, 총 거래액은 7,781.0달러입니다."
2025.02에 프랑스에서 가장 많이 거래된 품목은 무엇인가요?,"2025.02에 프랑스에서 가장 많이 거래된 품목은 전기자동차이며, 총 거래액은 28,752,817.0달러입니다."
2025.02에 프랑스에서 가장 적게 거래된 품목은 무엇인가요?,"2025.02에 프랑스에서 가장 적게 거래된 품목은 유기농 면화이며, 총 거래액은 4.0달러입니다."
2025.02에 호주에서 가장 많이 거래된 품목은 무엇인가요?,"2025.02에 호주에서 가장 많이 거래된 품목은 전기자동차이며, 총 거래액은 22,780,246.0달러입니다."
2025.02에 호주에서 가장 적게 거래된 품목은 무엇인가요?,"2025.02에 호주에서 가장 적게 거래된 품목은 금속 빨대이며, 총 거래액은 16,742.0달러입니다."
2025.03에 대만에서 가장 많이 거래된 품목은 무엇인가요?,"2025.03에 대만에서 가장 많이 거래된 품목은 전기차용 리튬이온 배터리이며, 총 거래액은 28,303,611.0달러입니다."
2025.03에 대만에서 가장 적게 거래된 품목은 무엇인가요?,"2025.03에 대만에서 가장 적게 거래된 품목은 금속 빨대이며, 총 거래액은 2,657.0달러입니다."
2025.03에 독일에서 가장 많이 거래된 품목은 무엇인가요?,"2025.03에 독일에서 가장 많이 거래된 품목은 전기자동차이며, 총 거래액은 197,225,211.0달러입니다."
2025.03에 독일에서 가장 적게 거래된 품목은 무엇인가요?,"2025.03에 독일에서 가장 적게 거래된 품목은 천연 비료이며, 총 거래액은 25,863.0달러입니다."
2025.03에 미국에서 가장 많이 거래된 품목은 무엇인가요?,"2025.03에 미국에서 가장 많이 거래된 품목은 전기차용 리튬이온 배터리이며, 총 거래액은 192,022,072.0달러입니다."
2025.03에 미국에서 가장 적게 거래된 품목은 무엇인가요?,"2025.03에 미국에서 가장 적게 거래된 품목은 천연 고무 라텍스이며, 총 거래액은 644.0달러입니다."
2025.03에 베트남에서 가장 많이 거래된 품목은 무엇인가요?,"2025.03에 베트남에서 가장 많이 거래된 품목은 전기차용 리튬이온 배터리이며, 총 거래액은 18,540,783.0달러입니다."
2025.03에 베트남에서 가장 적게 거래된 품목은 무엇인가요?,"2025.03에 베트남에서 가장 적게 거래된 품목은 유기농 면화이며, 총 거래액은 2,913.0달러입니다."
2025.03에 인도에서 가장 많이 거래된 품목은 무엇인가요?,"2025.03에 인도에서 가장 많이 거래된 품목은 전기차용 리튬이온 배터리이며, 총 거래액은 11,133,620.0달러입니다."
2025.03에 인도에서 가장 적게 거래된 품목은 무엇인가요?,"2025.03에 인도에서 가장 적게 거래된 품목은 천연 비료이며, 총 거래액은 7,174.0달러입니다."
2025.03에 일본에서 가장 많이 거래된 품목은 무엇인가요?,"2025.03에 일본에서 가장 많이 거래된 품목은 전기차용 리튬이온 배터리이며, 총 거래액은 16,429,935.0달러입니다."
2025.03에 일본에서 가장 적게 거래된 품목은 무엇인가요?,"2025.03에 일본에서 가장 적게 거래된 품목은 천연 고무 라텍스이며, 총 거래액은 1,398.0달러입니다."
2025.03에 중국에서 가장 많이 거래된 품목은 무엇인가요?,"2025.03에 중국에서 가장 많이 거래된 품목은 전기차용 리튬이온 배터리이며, 총 거래액은 301,707,779.0달러입니다."
2025.03에 중국에서 가장 적게 거래된 품목은 무엇인가요?,"2025.03에 중국에서 가장 적게 거래된 품목은 태양열 집열기이며, 총 거래액은 933.0달러입니다."
2025.03에 태국에서 가장 많이 거래된 품목은 무엇인가요?,"2025.03에 태국에서 가장 많이 거래된 품목은 전기차용 리튬이온 배터리이며, 총 거래액은 2,632,725.0달러입니다."
2025.03에 태국에서 가장 적게 거래된 품목은 무엇인가요?,"2025.03에 태국에서 가장 적게 거래된 품목은 금속 빨대이며, 총 거래액은 12,138.0달러입니다."
2025.03에 프랑스에서 가장 많이 거래된 품목은 무엇인가요?,"2025.03에 프랑스에서 가장 많이 거래된 품목은 전기자동차이며, 총 거래액은 22,768,016.0달러입니다."
2025.03에 프랑스에서 가장 적게 거래된 품목은 무엇인가요?,"2025.03에 프랑스에서 가장 적게 거래된 품목은 천연 성분 세제이며, 총 거래액은 50,266.0달러입니다."
2025.03에 호주에서 가장 많이 거래된 품목은 무엇인가요?,"2025.03에 호주에서 가장 많이 거래된 품목은 전기자동차이며, 총 거래액은 21,899,680.0달러입니다."
2025.03에 호주에서 가장 적게 거래된 품목은 무엇인가요?,"2025.03에 호주에서 가장 적게 거래된 품목은 금속 빨대이며, 총 거래액은 387.0달러입니다."
2025.04에 대만에서 가장 많이 거래된 품목은 무엇인가요?,"2025.04에 대만에서 가장 많이 거래된 품목은 전력 변환장치 (인버터)이며, 총 거래액은 7,331,175.0달러입니다."
2025.04에 대만에서 가장 적게 거래된 품목은 무엇인가요?,"2025.04에 대만에서 가장 적게 거래된 품목은 태양열 집열기이며, 총 거래액은 9,595.0달러입니다."
2025.04에 독일에서 가장 많이 거래된 품목은 무엇인가요?,"2025.04에 독일에서 가장 많이 거래된 품목은 전기자동차이며, 총 거래액은 188,388,285.0달러입니다."
2025.04에 독일에서 가장 적게 거래된 품목은 무엇인가요?,"2025.04에 독일에서 가장 적게 거래된 품목은 전기 이륜차이며, 총 거래액은 4,515.0달러입니다."
2025.04에 미국에서 가장 많이 거래된 품목은 무엇인가요?,"2025.04에 미국에서 가장 많이 거래된 품목은 전기차용 리튬이온 배터리이며, 총 거래액은 260,217,386.0달러입니다."
2025.04에 미국에서 가장 적게 거래된 품목은 무엇인가요?,"2025.04에 미국에서 가장 적게 거래된 품목은 전기 이륜차이며, 총 거래액은 64.0달러입니다."
2025.04에 베트남에서 가장 많이 거래된 품목은 무엇인가요?,"2025.04에 베트남에서 가장 많이 거래된 품목은 전력 변환장치 (인버터)이며, 총 거래액은 20,389,129.0달러입니다."
2025.04에 베트남에서 가장 적게 거래된 품목은 무엇인가요?,"2025.04에 베트남에서 가장 적게 거래된 품목은 태양열 집열기이며, 총 거래액은 1,275.0달러입니다."
2025.04에 인도에서 가장 많이 거래된 품목은 무엇인가요?,"2025.04에 인도에서 가장 많이 거래된 품목은 전기차용 리튬이온 배터리이며, 총 거래액은 11,163,885.0달러입니다."
2025.04에 인도에서 가장 적게 거래된 품목은 무엇인가요?,"2025.04에 인도에서 가장 적게 거래된 품목은 천연 비료이며, 총 거래액은 49.0달러입니다."
2025.04에 일본에서 가장 많이 거래된 품목은 무엇인가요?,"2025.04에 일본에서 가장 많이 거래된 품목은 전기차용 리튬이온 배터리이며, 총 거래액은 18,949,800.0달러입니다."
2025.04에 일본에서 가장 적게 거래된 품목은 무엇인가요?,"2025.04에 일본에서 가장 적게 거래된 품목은 전기 이륜차이며, 총 거래액은 898.0달러입니다."
2025.04에 중국에서 가장 많이 거래된 품목은 무엇인가요?,"2025.04에 중국에서 가장 많이 거래된 품목은 전기차용 리튬이온 배터리이며, 총 거래액은 336,085,258.0달러입니다."
2025.04에 중국에서 가장 적게 거래된 품목은 무엇인가요?,"2025.04에 중국에서 가장 적게 거래된 품목은 유기농 면화이며, 총 거래액은 147.0달러입니다."
2025.04에 태국에서 가장 많이 거래된 품목은 무엇인가요?,"2025.04에 태국에서 가장 많이 거래된 품목은 전기차용 리튬이온 배터리이며, 총 거래액은 1,670,330.0달러입니다."
2025.04에 태국에서 가장 적게 거래된 품목은 무엇인가요?,"2025.04에 태국에서 가장 적게 거래된 품목은 태양열 집열기이며, 총 거래액은 1,395.0달러입니다."
2025.04에 프랑스에서 가장 많이 거래된 품목은 무엇인가요?,"2025.04에 프랑스에서 가장 많이 거래된 품목은 전기자동차이며, 총 거래액은 39,541,539.0달러입니다."
2025.04에 프랑스에서 가장 적게 거래된 품목은 무엇인가요?,"2025.04에 프랑스에서 가장 적게 거래된 품목은 태양열 집열기이며, 총 거래액은 201.0달러입니다."
2025.04에 호주에서 가장 많이 거래된 품목은 무엇인가요?,"2025.04에 호주에서 가장 많이 거래된 품목은 전기자동차이며, 총 거래액은 29,790,567.0달러입니다."
2025.04에 호주에서 가장 적게 거래된 품목은 무엇인가요?,"2025.04에 호주에서 가장 적게 거래된 품목은 천연 비료이며, 총 거래액은 44.0달러입니다."
2025.05에 대만에서 가장 많이 거래된 품목은 무엇인가요?,"2025.05에 대만에서 가장 많이 거래된 품목은 천연 성분 세제이며, 총 거래액은 6,141,044.0달러입니다."
2025.05에 대만에서 가장 적게 거래된 품목은 무엇인가요?,"2025.05에 대만에서 가장 적게 거래된 품목은 유기농 면화이며, 총 거래액은 172.0달러입니다."
2025.05에 독일에서 가장 많이 거래된 품목은 무엇인가요?,"2025.05에 독일에서 가장 많이 거래된 품목은 전기자동차이며, 총 거래액은 200,177,834.0달러입니다."
2025.05에 독일에서 가장 적게 거래된 품목은 무엇인가요?,"2025.05에 독일에서 가장 적게 거래된 품목은 풍력 터빈용 발전기이며, 총 거래액은 23,742.0달러입니다."
2025.05에 미국에서 가장 많이 거래된 품목은 무엇인가요?,"2025.05에 미국에서 가장 많이 거래된 품목은 전기차용 리튬이온 배터리이며, 총 거래액은 175,347,671.0달러입니다."
2025.05에 미국에서 가장 적게 거래된 품목은 무엇인가요?,"2025.05에 미국에서 가장 적게 거래된 품목은 천연 고무 라텍스이며, 총 거래액은 4,677.0달러입니다."
2025.05에 베트남에서 가장 많이 거래된 품목은 무엇인가요?,"2025.05에 베트남에서 가장 많이 거래된 품목은 전력 변환장치 (인버터)이며, 총 거래액은 17,486,037.0달러입니다."
2025.05에 베트남에서 가장 적게 거래된 품목은 무엇인가요?,"2025.05에 베트남에서 가장 적게 거래된 품목은 유기농 면화이며, 총 거래액은 2,566.0달러입니다."
2025.05에 인도에서 가장 많이 거래된 품목은 무엇인가요?,"2025.05에 인도에서 가장 많이 거래된 품목은 전기차용 리튬이온 배터리이며, 총 거래액은 9,417,653.0달러입니다."
2025.05에 인도에서 가장 적게 거래된 품목은 무엇인가요?,"2025.05에 인도에서 가장 적게 거래된 품목은 천연 비료이며, 총 거래액은 1,268.0달러입니다."
2025.05에 일본에서 가장 많이 거래된 품목은 무엇인가요?,"2025.05에 일본에서 가장 많이 거래된 품목은 전기차용 리튬이온 배터리이며, 총 거래액은 16,320,251.0달러입니다."
