질문,답변
2025.05에 일본에서 가장 적게 거래된 품목은 무엇인가요?,"2025.05에 일본에서 가장 적게 거래된 품목은 전기 이륜차이며, 총 거래액은 1,631.0달러입니다."
2025.05에 중국에서 가장 많이 거래된 품목은 무엇인가요?,"2025.05에 중국에서 가장 많이 거래된 품목은 전기차용 리튬이온 배터리이며, 총 거래액은 287,694,212.0달러입니다."
2025.05에 중국에서 가장 적게 거래된 품목은 무엇인가요?,"2025.05에 중국에서 가장 적게 거래된 품목은 풍력 터빈용 발전기이며, 총 거래액은 6,177.0달러입니다."
2025.05에 태국에서 가장 많이 거래된 품목은 무엇인가요?,"2025.05에 태국에서 가장 많이 거래된 품목은 전기차용 리튬이온 배터리이며, 총 거래액은 3,129,299.0달러입니다."
2025.05에 태국에서 가장 적게 거래된 품목은 무엇인가요?,"2025.05에 태국에서 가장 적게 거래된 품목은 금속 빨대이며, 총 거래액은 1,850.0달러입니다."
2025.05에 프랑스에서 가장 많이 거래된 품목은 무엇인가요?,"2025.05에 프랑스에서 가장 많이 거래된 품목은 전기자동차이며, 총 거래액은 17,933,826.0달러입니다."
2025.05에 프랑스에서 가장 적게 거래된 품목은 무엇인가요?,"2025.05에 프랑스에서 가장 적게 거래된 품목은 태양열 집열기이며, 총 거래액은 718.0달러입니다."
2025.05에 호주에서 가장 많이 거래된 품목은 무엇인가요?,"2025.05에 호주에서 가장 많이 거래된 품목은 전기자동차이며, 총 거래액은 17,636,901.0달러입니다."
2025.05에 호주에서 가장 적게 거래된 품목은 무엇인가요?,"2025.05에 호주에서 가장 적게 거래된 품목은 유기농 면화이며, 총 거래액은 109.0달러입니다."
금속 빨대는 어느 시기에 가장 많이 거래되었나요?,"금속 빨대(은)은 2025.04에 가장 많이 거래되었으며, 총 거래액은 4,043,296.0달러입니다."
금속 빨대는 어느 시기에 가장 적게 거래되었나요?,"금속 빨대(은)은 2024.09에 가장 적게 거래되었으며, 총 거래액은 2,253,207.0달러입니다."
"슬래그 울, 단열재는 어느 시기에 가장 많이 거래되었나요?","슬래그 울, 단열재(은)은 2025.04에 가장 많이 거래되었으며, 총 거래액은 8,255,696.0달러입니다."
"슬래그 울, 단열재는 어느 시기에 가장 적게 거래되었나요?","슬래그 울, 단열재(은)은 2025.01에 가장 적게 거래되었으며, 총 거래액은 4,897,089.0달러입니다."
실리콘 식기/빨대는 어느 시기에 가장 많이 거래되었나요?,"실리콘 식기/빨대(은)은 2024.12에 가장 많이 거래되었으며, 총 거래액은 16,994,102.0달러입니다."
실리콘 식기/빨대는 어느 시기에 가장 적게 거래되었나요?,"실리콘 식기/빨대(은)은 2024.09에 가장 적게 거래되었으며, 총 거래액은 13,820,250.0달러입니다."
유기농 면화는 어느 시기에 가장 많이 거래되었나요?,"유기농 면화(은)은 2025.04에 가장 많이 거래되었으며, 총 거래액은 6,890,709.0달러입니다."
유기농 면화는 어느 시기에 가장 적게 거래되었나요?,"유기농 면화(은)은 2025.01에 가장 적게 거래되었으며, 총 거래액은 2,308,846.0달러입니다."
전기 이륜차는 어느 시기에 가장 많이 거래되었나요?,"전기 이륜차(은)은 2024.09에 가장 많이 거래되었으며, 총 거래액은 13,127,025.0달러입니다."
전기 이륜차는 어느 시기에 가장 적게 거래되었나요?,"전기 이륜차(은)은 2025.02에 가장 적게 거래되었으며, 총 거래액은 3,750,446.0달러입니다."
전기자동차는 어느 시기에 가장 많이 거래되었나요?,"전기자동차(은)은 2025.05에 가장 많이 거래되었으며, 총 거래액은 531,874,793.0달러입니다."
전기자동차는 어느 시기에 가장 적게 거래되었나요?,"전기자동차(은)은 2025.01에 가장 적게 거래되었으며, 총 거래액은 275,172,404.0달러입니다."
전기차용 리튬이온 배터리는 어느 시기에 가장 많이 거래되었나요?,"전기차용 리튬이온 배터리(은)은 2024.12에 가장 많이 거래되었으며, 총 거래액은 969,890,259.0달러입니다."
전기차용 리튬이온 배터리는 어느 시기에 가장 적게 거래되었나요?,"전기차용 리튬이온 배터리(은)은 2025.01에 가장 적게 거래되었으며, 총 거래액은 509,553,366.0달러입니다."
전력 변환장치 (인버터)은 어느 시기에 가장 많이 거래되었나요?,"전력 변환장치 (인버터)(은)은 2024.1에 가장 많이 거래되었으며, 총 거래액은 253,311,490.0달러입니다."
전력 변환장치 (인버터)은 어느 시기에 가장 적게 거래되었나요?,"전력 변환장치 (인버터)(은)은 2025.02에 가장 적게 거래되었으며, 총 거래액은 176,846,378.0달러입니다."
"종이 빨대, 포장재는 어느 시기에 가장 많이 거래되었나요?","종이 빨대, 포장재(은)은 2025.03에 가장 많이 거래되었으며, 총 거래액은 10,662,930.0달러입니다."
"종이 빨대, 포장재는 어느 시기에 가장 적게 거래되었나요?","종이 빨대, 포장재(은)은 2025.02에 가장 적게 거래되었으며, 총 거래액은 4,414,761.0달러입니다."
천연 고무 라텍스는 어느 시기에 가장 많이 거래되었나요?,"천연 고무 라텍스(은)은 2024.07에 가장 많이 거래되었으며, 총 거래액은 2,096,752.0달러입니다."
천연 고무 라텍스는 어느 시기에 가장 적게 거래되었나요?,"천연 고무 라텍스(은)은 2025.04에 가장 적게 거래되었으며, 총 거래액은 1,539,056.0달러입니다."
천연 비료는 어느 시기에 가장 많이 거래되었나요?,"천연 비료(은)은 2025.05에 가장 많이 거래되었으며, 총 거래액은 2,984,698.0달러입니다."
천연 비료는 어느 시기에 가장 적게 거래되었나요?,"천연 비료(은)은 2025.01에 가장 적게 거래되었으며, 총 거래액은 1,050,095.0달러입니다."
천연 성분 세제는 어느 시기에 가장 많이 거래되었나요?,"천연 성분 세제(은)은 2025.03에 가장 많이 거래되었으며, 총 거래액은 25,316,323.0달러입니다."
천연 성분 세제는 어느 시기에 가장 적게 거래되었나요?,"천연 성분 세제(은)은 2024.09에 가장 적게 거래되었으며, 총 거래액은 17,027,587.0달러입니다."
태양열 집열기는 어느 시기에 가장 많이 거래되었나요?,"태양열 집열기(은)은 2024.09에 가장 많이 거래되었으며, 총 거래액은 1,013,249.0달러입니다."
태양열 집열기는 어느 시기에 가장 적게 거래되었나요?,"태양열 집열기(은)은 2024.11에 가장 적게 거래되었으며, 총 거래액은 93,974.0달러입니다."
풍력 터빈용 발전기는 어느 시기에 가장 많이 거래되었나요?,"풍력 터빈용 발전기(은)은 2024.06에 가장 많이 거래되었으며, 총 거래액은 48,191,576.0달러입니다."
풍력 터빈용 발전기는 어느 시기에 가장 적게 거래되었나요?,"풍력 터빈용 발전기(은)은 2025.02에 가장 적게 거래되었으며, 총 거래액은 2,359.0달러입니다."
-은 어느 국가로 가장 많이 수출되었나요?,"-은 -에 약 7,947,275,655달러 수출되어 가장 많은 수출량을 기록했습니다."
-은 어느 국가에서 가장 많이 수입되었나요?,"-은 -로부터 약 8,323,739,686달러 수입되어 가장 많은 수입량을 기록했습니다."
-은 어떤 월에 가장 많이 수출되었나요?,"-은 총계에 약 7,947,275,655달러 수출되어 가장 높은 수출 실적을 기록했습니다."
-은 어떤 월에 가장 많이 수입되었나요?,"-은 총계에 약 8,323,739,686달러 수입되어 가장 높은 수입 실적을 기록했습니다."
천연 비료는 어느 국가로 가장 많이 수출되었나요?,"천연 비료는 베트남에 약 18,583,561달러 수출되어 가장 많은 수출량을 기록했습니다."
천연 비료는 어느 국가에서 가장 많이 수입되었나요?,"천연 비료는 중국로부터 약 1,183,197달러 수입되어 가장 많은 수입량을 기록했습니다."
천연 비료는 어떤 월에 가장 많이 수출되었나요?,"천연 비료는 2025.05에 약 2,704,083달러 수출되어 가장 높은 수출 실적을 기록했습니다."
천연 비료는 어떤 월에 가장 많이 수입되었나요?,"천연 비료는 2025.04에 약 437,938달러 수입되어 가장 높은 수입 실적을 기록했습니다."
천연 성분 세제는 어느 국가로 가장 많이 수출되었나요?,"천연 성분 세제는 중국에 약 67,642,350달러 수출되어 가장 많은 수출량을 기록했습니다."
천연 성분 세제는 어느 국가에서 가장 많이 수입되었나요?,"천연 성분 세제는 중국로부터 약 27,367,897달러 수입되어 가장 많은 수입량을 기록했습니다."
천연 성분 세제는 어떤 월에 가장 많이 수출되었나요?,"천연 성분 세제는 2024.07에 약 17,257,200달러 수출되어 가장 높은 수출 실적을 기록했습니다."
천연 성분 세제는 어떤 월에 가장 많이 수입되었나요?,"천연 성분 세제는 2025.04에 약 9,421,611달러 수입되어 가장 높은 수입 실적을 기록했습니다."
실리콘 식기/빨대는 어느 국가로 가장 많이 수출되었나요?,"실리콘 식기/빨대는 미국에 약 22,236,298달러 수출되어 가장 많은 수출량을 기록했습니다."
실리콘 식기/빨대는 어느 국가에서 가장 많이 수입되었나요?,"실리콘 식기/빨대는 중국로부터 약 112,323,575달러 수입되어 가장 많은 수입량을 기록했습니다."
실리콘 식기/빨대는 어떤 월에 가장 많이 수출되었나요?,"실리콘 식기/빨대는 2025.05에 약 4,293,390달러 수출되어 가장 높은 수출 실적을 기록했습니다."
실리콘 식기/빨대는 어떤 월에 가장 많이 수입되었나요?,"실리콘 식기/빨대는 2024.12에 약 13,556,356달러 수입되어 가장 높은 수입 실적을 기록했습니다."
천연 고무 라텍스는 어느 국가로 가장 많이 수출되었나요?,"천연 고무 라텍스는 베트남에 약 18,866달러 수출되어 가장 많은 수출량을 기록했습니다."
천연 고무 라텍스는 어느 국가에서 가장 많이 수입되었나요?,"천연 고무 라텍스는 태국로부터 약 21,471,947달러 수입되어 가장 많은 수입량을 기록했습니다."
천연 고무 라텍스는 어떤 월에 가장 많이 수출되었나요?,"천연 고무 라텍스는 2025.01에 약 8,897달러 수출되어 가장 높은 수출 실적을 기록했습니다."
천연 고무 라텍스는 어떤 월에 가장 많이 수입되었나요?,"천연 고무 라텍스는 2024.07에 약 2,096,752달러 수입되어 가장 높은 수입 실적을 기록했습니다."
"종이 빨대, 포장재는 어느 국가로 가장 많이 수출되었나요?","종이 빨대, 포장재는 중국에 약 11,390,507달러 수출되어 가장 많은 수출량을 기록했습니다."
"종이 빨대, 포장재는 어느 국가에서 가장 많이 수입되었나요?","종이 빨대, 포장재는 중국로부터 약 32,541,187달러 수입되어 가장 많은 수입량을 기록했습니다."
"종이 빨대, 포장재는 어떤 월에 가장 많이 수출되었나요?","종이 빨대, 포장재는 2025.03에 약 6,748,633달러 수출되어 가장 높은 수출 실적을 기록했습니다."
"종이 빨대, 포장재는 어떤 월에 가장 많이 수입되었나요?","종이 빨대, 포장재는 2025.04에 약 4,501,051달러 수입되어 가장 높은 수입 실적을 기록했습니다."
유기농 면화는 어느 국가로 가장 많이 수출되었나요?,"유기농 면화는 일본에 약 661,509달러 수출되어 가장 많은 수출량을 기록했습니다."
유기농 면화는 어느 국가에서 가장 많이 수입되었나요?,"유기농 면화는 미국로부터 약 43,640,925달러 수입되어 가장 많은 수입량을 기록했습니다."
유기농 면화는 어떤 월에 가장 많이 수출되었나요?,"유기농 면화는 2024.10에 약 245,770달러 수출되어 가장 높은 수출 실적을 기록했습니다."
유기농 면화는 어떤 월에 가장 많이 수입되었나요?,"유기농 면화는 2025.04에 약 6,816,408달러 수입되어 가장 높은 수입 실적을 기록했습니다."
"슬래그 울, 단열재는 어느 국가로 가장 많이 수출되었나요?","슬래그 울, 단열재는 베트남에 약 5,680,095달러 수출되어 가장 많은 수출량을 기록했습니다."
"슬래그 울, 단열재는 어느 국가에서 가장 많이 수입되었나요?","슬래그 울, 단열재는 일본로부터 약 36,116,209달러 수입되어 가장 많은 수입량을 기록했습니다."
"슬래그 울, 단열재는 어떤 월에 가장 많이 수출되었나요?","슬래그 울, 단열재는 2024.07에 약 2,757,692달러 수출되어 가장 높은 수출 실적을 기록했습니다."
"슬래그 울, 단열재는 어떤 월에 가장 많이 수입되었나요?","슬래그 울, 단열재는 2025.04에 약 6,519,864달러 수입되어 가장 높은 수입 실적을 기록했습니다."
금속 빨대는 어느 국가로 가장 많이 수출되었나요?,"금속 빨대는 미국에 약 2,157,839달러 수출되어 가장 많은 수출량을 기록했습니다."
금속 빨대는 어느 국가에서 가장 많이 수입되었나요?,"금속 빨대는 중국로부터 약 24,447,175달러 수입되어 가장 많은 수입량을 기록했습니다."
금속 빨대는 어떤 월에 가장 많이 수출되었나요?,"금속 빨대는 2024.07에 약 350,702달러 수출되어 가장 높은 수출 실적을 기록했습니다."
금속 빨대는 어떤 월에 가장 많이 수입되었나요?,"금속 빨대는 2025.04에 약 3,794,950달러 수입되어 가장 높은 수입 실적을 기록했습니다."
태양열 집열기는 어느 국가로 가장 많이 수출되었나요?,"태양열 집열기는 미국에 약 1,155,993달러 수출되어 가장 많은 수출량을 기록했습니다."
태양열 집열기는 어느 국가에서 가장 많이 수입되었나요?,"태양열 집열기는 중국로부터 약 830,118달러 수입되어 가장 많은 수입량을 기록했습니다."
태양열 집열기는 어떤 월에 가장 많이 수출되었나요?,"태양열 집열기는 2024.09에 약 778,319달러 수출되어 가장 높은 수출 실적을 기록했습니다."
태양열 집열기는 어떤 월에 가장 많이 수입되었나요?,"태양열 집열기는 2025.04에 약 324,066달러 수입되어 가장 높은 수입 실적을 기록했습니다."
풍력 터빈용 발전기는 어느 국가로 가장 많이 수출되었나요?,"풍력 터빈용 발전기는 미국에 약 582,642달러 수출되어 가장 많은 수출량을 기록했습니다."
풍력 터빈용 발전기는 어느 국가에서 가장 많이 수입되었나요?,"풍력 터빈용 발전기는 중국로부터 약 53,981,275달러 수입되어 가장 많은 수입량을 기록했습니다."
풍력 터빈용 발전기는 어떤 월에 가장 많이 수출되었나요?,"풍력 터빈용 발전기는 2024.10에 약 582,642달러 수출되어 가장 높은 수출 실적을 기록했습니다."
풍력 터빈용 발전기는 어떤 월에 가장 많이 수입되었나요?,"풍력 터빈용 발전기는 2024.06에 약 48,191,576달러 수입되어 가장 높은 수입 실적을 기록했습니다."
전력 변환장치 (인버터)은 어느 국가로 가장 많이 수출되었나요?,"전력 변환장치 (인버터)은 미국에 약 259,634,187달러 수출되어 가장 많은 수출량을 기록했습니다."
전력 변환장치 (인버터)은 어느 국가에서 가장 많이 수입되었나요?,"전력 변환장치 (인버터)은 중국로부터 약 1,164,980,029달러 수입되어 가장 많은 수입량을 기록했습니다."
전력 변환장치 (인버터)은 어떤 월에 가장 많이 수출되었나요?,"전력 변환장치 (인버터)은 2024.07에 약 53,003,097달러 수출되어 가장 높은 수출 실적을 기록했습니다."
전력 변환장치 (인버터)은 어떤 월에 가장 많이 수입되었나요?,"전력 변환장치 (인버터)은 2024.10에 약 215,912,164달러 수입되어 가장 높은 수입 실적을 기록했습니다."
전기차용 리튬이온 배터리는 어느 국가로 가장 많이 수출되었나요?,"전기차용 리튬이온 배터리는 미국에 약 3,154,024,638달러 수출되어 가장 많은 수출량을 기록했습니다."
전기차용 리튬이온 배터리는 어느 국가에서 가장 많이 수입되었나요?,"전기차용 리튬이온 배터리는 중국로부터 약 3,703,259,300달러 수입되어 가장 많은 수입량을 기록했습니다."
전기차용 리튬이온 배터리는 어떤 월에 가장 많이 수출되었나요?,"전기차용 리튬이온 배터리는 2024.12에 약 524,890,273달러 수출되어 가장 높은 수출 실적을 기록했습니다."
전기차용 리튬이온 배터리는 어떤 월에 가장 많이 수입되었나요?,"전기차용 리튬이온 배터리는 2024.12에 약 444,999,986달러 수입되어 가장 높은 수입 실적을 기록했습니다."
전기자동차는 어느 국가로 가장 많이 수출되었나요?,"전기자동차는 미국에 약 1,519,692,514달러 수출되어 가장 많은 수출량을 기록했습니다."
전기자동차는 어느 국가에서 가장 많이 수입되었나요?,"전기자동차는 중국로부터 약 1,051,383,970달러 수입되어 가장 많은 수입량을 기록했습니다."
전기자동차는 어떤 월에 가장 많이 수출되었나요?,"전기자동차는 2024.09에 약 306,871,280달러 수출되어 가장 높은 수출 실적을 기록했습니다."
전기자동차는 어떤 월에 가장 많이 수입되었나요?,"전기자동차는 2025.05에 약 327,167,715달러 수입되어 가장 높은 수입 실적을 기록했습니다."
전기 이륜차는 어느 국가로 가장 많이 수출되었나요?,"전기 이륜차는 태국에 약 362,028달러 수출되어 가장 많은 수출량을 기록했습니다."
전기 이륜차는 어느 국가에서 가장 많이 수입되었나요?,"전기 이륜차는 중국로부터 약 94,643,169달러 수입되어 가장 많은 수입량을 기록했습니다."
전기 이륜차는 어떤 월에 가장 많이 수출되었나요?,"전기 이륜차는 2024.12에 약 290,267달러 수출되어 가장 높은 수출 실적을 기록했습니다."
전기 이륜차는 어떤 월에 가장 많이 수입되었나요?,"전기 이륜차는 2024.09에 약 13,126,325달러 수입되어 가장 높은 수입 실적을 기록했습니다."
대만은 어떤 물품을 가장 많이 수입했나요?,"대만은 전력 변환장치 (인버터)을 약 45,382,588달러 수입하여 가장 많이 수입한 품목입니다."
독일은 어떤 물품을 가장 많이 수입했나요?,"독일은 전기자동차을 약 658,372,213달러 수입하여 가장 많이 수입한 품목입니다."
미국은 어떤 물품을 가장 많이 수입했나요?,"미국은 전력 변환장치 (인버터)을 약 196,941,141달러 수입하여 가장 많이 수입한 품목입니다."
베트남은 어떤 물품을 가장 많이 수입했나요?,"베트남은 전력 변환장치 (인버터)을 약 189,206,839달러 수입하여 가장 많이 수입한 품목입니다."
인도는 어떤 물품을 가장 많이 수입했나요?,"인도는 전력 변환장치 (인버터)을 약 37,498,528달러 수입하여 가장 많이 수입한 품목입니다."
일본은 어떤 물품을 가장 많이 수입했나요?,"일본은 전력 변환장치 (인버터)을 약 88,494,661달러 수입하여 가장 많이 수입한 품목입니다."
중국은 어떤 물품을 가장 많이 수입했나요?,"중국은 전기차용 리튬이온 배터리을 약 3,703,259,300달러 수입하여 가장 많이 수입한 품목입니다."
태국은 어떤 물품을 가장 많이 수입했나요?,"태국은 천연 고무 라텍스을 약 21,471,947달러 수입하여 가장 많이 수입한 품목입니다."
프랑스는 어떤 물품을 가장 많이 수입했나요?,"프랑스는 전력 변환장치 (인버터)을 약 53,176,099달러 수입하여 가장 많이 수입한 품목입니다."
호주는 어떤 물품을 가장 많이 수입했나요?,"호주는 유기농 면화을 약 9,876,174달러 수입하여 가장 많이 수입한 품목입니다."
우리나라는 대만에서 어떤 물품을 수입했나요?,"우리나라는 대만에서 전력 변환장치 (인버터)을 약 45,382,588달러 수입했습니다."
우리나라는 독일에서 어떤 물품을 수입했나요?,"우리나라는 독일에서 전기자동차을 약 658,372,213달러 수입했습니다."
우리나라는 미국에서 어떤 물품을 수입했나요?,"우리나라는 미국에서 전력 변환장치 (인버터)을 약 196,941,141달러 수입했습니다."
우리나라는 베트남에서 어떤 물품을 수입했나요?,"우리나라는 베트남에서 전력 변환장치 (인버터)을 약 189,206,839달러 수입했습니다."
우리나라는 인도에서 어떤 물품을 수입했나요?,"우리나라는 인도에서 전력 변환장치 (인버터)을 약 37,498,528달러 수입했습니다."
우리나라는 일본에서 어떤 물품을 수입했나요?,"우리나라는 일본에서 전력 변환장치 (인버터)을 약 88,494,661달러 수입했습니다."
우리나라는 중국에서 어떤 물품을 수입했나요?,"우리나라는 중국에서 전기차용 리튬이온 배터리을 약 3,703,259,300달러 수입했습니다."
우리나라는 태국에서 어떤 물품을 수입했나요?,"우리나라는 태국에서 천연 고무 라텍스을 약 21,471,947달러 수입했습니다."
우리나라는 프랑스에서 어떤 물품을 수입했나요?,"우리나라는 프랑스에서 전력 변환장치 (인버터)을 약 53,176,099달러 수입했습니다."
우리나라는 호주에서 어떤 물품을 수입했나요?,"우리나라는 호주에서 유기농 면화을 약 9,876,174달러 수입했습니다."
금속 빨대는 우리나라에 어떤 국가에서 수입되었나요?,"금속 빨대는 중국(24,447,175달러), 베트남(2,591,904달러), 일본(1,468,766달러), 프랑스(1,385,723달러), 독일(992,794달러), 미국(660,076달러), 인도(301,439달러), 태국(57,898달러), 대만(31,544달러), 호주(4,131달러) 순으로 수입되었습니다."
"슬래그 울, 단열재는 우리나라에 어떤 국가에서 수입되었나요?","슬래그 울, 단열재는 일본(36,116,209달러), 중국(9,760,845달러), 미국(6,676,712달러), 프랑스(1,916,933달러), 인도(446,894달러), 독일(274,767달러), 대만(233,693달러), 태국(61,957달러), 베트남(16,146달러) 순으로 수입되었습니다."
실리콘 식기/빨대는 우리나라에 어떤 국가에서 수입되었나요?,"실리콘 식기/빨대는 중국(112,323,575달러), 베트남(12,350,247달러), 태국(6,061,476달러), 일본(4,595,734달러), 미국(2,123,026달러), 독일(2,038,211달러), 프랑스(1,739,424달러), 인도(908,324달러), 대만(405,927달러), 호주(45,586달러) 순으로 수입되었습니다."
유기농 면화는 우리나라에 어떤 국가에서 수입되었나요?,"유기농 면화는 미국(43,640,925달러), 호주(9,876,174달러), 일본(4,932달러), 인도(3,270달러), 프랑스(2,583달러), 중국(2,007달러) 순으로 수입되었습니다."
전기 이륜차는 우리나라에 어떤 국가에서 수입되었나요?,"전기 이륜차는 중국(94,643,169달러), 대만(10,833,394달러), 베트남(1,072,546달러), 독일(508,616달러), 프랑스(38,209달러), 미국(37,764달러), 일본(22,303달러), 인도(16,520달러), 호주(1,247달러) 순으로 수입되었습니다."
전기자동차는 우리나라에 어떤 국가에서 수입되었나요?,"전기자동차는 중국(1,051,383,970달러), 독일(658,372,213달러), 미국(97,055,356달러), 프랑스(3,933,917달러), 인도(339,035달러), 일본(277,770달러), 대만(232,500달러) 순으로 수입되었습니다."
전기차용 리튬이온 배터리는 우리나라에 어떤 국가에서 수입되었나요?,"전기차용 리튬이온 배터리는 중국(3,703,259,300달러), 미국(37,003,731달러), 베트남(33,617,473달러), 일본(22,308,160달러), 독일(15,157,327달러), 대만(4,280,570달러), 프랑스(1,928,010달러), 인도(1,422,370달러), 호주(98,164달러), 태국(21,883달러) 순으로 수입되었습니다."
전력 변환장치 (인버터)은 우리나라에 어떤 국가에서 수입되었나요?,"전력 변환장치 (인버터)은 중국(1,164,980,029달러), 독일(248,939,837달러), 미국(196,941,141달러), 베트남(189,206,839달러), 일본(88,494,661달러), 프랑스(53,176,099달러), 대만(45,382,588달러), 인도(37,498,528달러), 태국(12,729,603달러), 호주(129,079달러) 순으로 수입되었습니다."
"종이 빨대, 포장재는 우리나라에 어떤 국가에서 수입되었나요?","종이 빨대, 포장재는 중국(32,541,187달러), 일본(5,408,255달러), 미국(2,167,422달러), 독일(1,571,573달러), 인도(1,413,885달러), 베트남(696,084달러), 프랑스(607,185달러), 대만(62,873달러), 태국(43,880달러), 호주(1,885달러) 순으로 수입되었습니다."
천연 고무 라텍스는 우리나라에 어떤 국가에서 수입되었나요?,"천연 고무 라텍스는 태국(21,471,947달러), 베트남(706,070달러), 중국(57,865달러), 미국(27,758달러), 프랑스(1,368달러), 일본(689달러) 순으로 수입되었습니다."
천연 비료는 우리나라에 어떤 국가에서 수입되었나요?,"천연 비료는 중국(1,183,197달러), 일본(1,140,978달러), 인도(124,597달러), 독일(104,141달러), 대만(91,468달러), 미국(79,873달러), 프랑스(58,882달러), 베트남(69달러), 호주(44달러) 순으로 수입되었습니다."
천연 성분 세제는 우리나라에 어떤 국가에서 수입되었나요?,"천연 성분 세제는 중국(27,367,897달러), 미국(27,082,925달러), 일본(15,641,707달러), 독일(15,084,061달러), 대만(2,133,770달러), 태국(1,152,125달러), 프랑스(887,028달러), 베트남(404,170달러), 인도(376,039달러), 호주(245,367달러) 순으로 수입되었습니다."
태양열 집열기는 우리나라에 어떤 국가에서 수입되었나요?,"태양열 집열기는 중국(830,118달러), 독일(382,594달러), 미국(289,811달러), 대만(125,738달러), 베트남(25,891달러), 일본(12,596달러), 프랑스(331달러) 순으로 수입되었습니다."
풍력 터빈용 발전기는 우리나라에 어떤 국가에서 수입되었나요?,"풍력 터빈용 발전기는 중국(53,981,275달러), 독일(48,238,293달러), 미국(998,134달러), 인도(5,450달러), 일본(243달러) 순으로 수입되었습니다."
